ps_CourseCode,course_Name,grade_Level,department,course_Id
3A047X0800,AP Physics C: Mechanics,High School,Science,
3A047X0900,AP Physics C: Mechanics,High School,Science,
3A057X0000,AP Physics 1: Algebra-based,High School,Science,
3A057X0800,AP Physics 1: Algebra-Based,High School,Science,
3A057X080V,AP Physics 1: Algebra-Based VPS,High School,Science,
3A057X0900,AP Physics 1: Algebra-Based,High School,Science,
3A057X090V,AP Physics 1: Algebra-Based VPS,High School,Science,
3A067X0800,AP Physics 2: Algebra-Based,High School,Science,
3A067X080V,AP Physics 2: Algebra-Based VPS,High School,Science,
3A067X0900,AP Physics 2: Algebra-Based,High School,Science,
3C002X0121,CHM121 Foundations of Chemistry,High School,Science,
3C002X0161,BIO161 Intro to Human Biology,High School,Science,
3C002X0226,ENV226 Environmental Law,High School,Science,
3C015X0000,AST111 Descriptive Astronomy,High School,Science,
3C035X0000,AST151 General Astronomy I,High School,Science,
3C055X0000,BIO110 Principles of Biology,High School,Science,
3C065X0000,BIO111 General Biology I,High School,Science,
3C075X0000,BIO112 General Biology II,High School,Science,
3C085X0000,CHM151 General Chemistry I,High School,Science,
3C095X0000,CHM152 General Chemistry II,High School,Science,
3C105X0000,GEL111 Introductory Geology,High School,Science,
3C115X0000,PHY110 Conceptual Physics,High School,Science,
3C135X0130,BIO130 Introductory Zoology,High School,Science,
3C165X0000,BIO275 Microbiology,High School,Science,
3C175X0000,BIO168 Anatomy and Physiology I,High School,Science,
3C185X0000,BIO169 Anatomy and Physiology II,High School,Science,
3C195X0000,PHY151 College Physics I,High School,Science,
3C205X0000,PHY152 College Physics II,High School,Science,
3C215X0000,PHY251 General Physics I,High School,Science,
3C225X0000,PHY252 General Physics II,High School,Science,
3C235X0000,AST152 General Astronomy II,High School,Science,
3C245X0000,BIO155 Nutrition,High School,Science,
3C255X0000,BIO140 Environmental Biology,High School,Science,
3C275X0000,CHM131 Introduction to Chemistry,High School,Science,
3C285X0000,CHM251 Organic Chemistry I,High School,Science,
3C295X0000,GEL120 Physical Geology,High School,Science,
3C325X0000,BIO163 Basic Anat and Physiology,High School,Science,
3C345X0000,CHM132 Organic and Biochemistry,High School,Science,
3C355X0000,"CHM130 Gen, Org, and Biochemistry",High School,Science,
3C425X0000,BIO175 General Microbiology,High School,Science,
3C575X0000,CHM252 Organic Chemistry II,High School,Science,
3C782X010L,PHY110A Conceptual Physics Lab,High School,Science,
3C782X011L,AST111A Descriptive Astronomy Lab,High School,Science,
3I008X0810,IB Biology SL I,High School,Science,
3I008X0820,IB Biology SL II,High School,Science,
3I008X0910,IB Biology SL I,High School,Science,
3I008X0920,IB Biology SL II,High School,Science,
3I018X0810,IB Biology HL I,High School,Science,
3I018X0820,IB Biology HL II,High School,Science,
3I018X0910,IB Biology HL I,High School,Science,
3I018X0920,IB Biology HL II,High School,Science,
3I028X0810,IB Chemistry SL I,High School,Science,
3I028X0820,IB Chemistry SL II,High School,Science,
3I028X0910,IB Chemistry SL I,High School,Science,
3I028X0920,IB Chemistry SL II,High School,Science,
3I038X0810,IB Chemistry HL I,High School,Science,
3I038X0820,IB Chemistry HL II,High School,Science,
3I038X0910,IB Chemistry HL I,High School,Science,
3I038X0920,IB Chemistry HL II,High School,Science,
3I048X0810,IB Physics SL I,High School,Science,
3I048X0820,IB Physics SL II,High School,Science,
3I048X0910,IB Physics SL I,High School,Science,
3I048X0920,IB Physics SL II,High School,Science,
3I058X0810,IB Physics HL I,High School,Science,
3I058X0820,IB Physics HL II,High School,Science,
3I058X0910,IB Physics HL I,High School,Science,
3I058X0920,IB Physics HL II,High School,Science,
3I068X0810,IB Design Technology SL I,High School,Science,
3I068X0820,IB Design Technology SL II,High School,Science,
3I078X0810,IB Design Technology HL I,High School,Science,
3I078X0820,IB Design Technology HL II,High School,Science,
3I088X0810,IB Sports Exercise & Health Sci SL I,High School,Science,
3I088X0820,IB Sports Exercise & Health Sci SL II,High School,Science,
3I098X0800,IB Environ. Systems and Societies SL,High School,Science,
3I098X0810,IB Environ Systems and Societies SL I,High School,Science,
3I098X0820,IB Environ Systems and Societies SL II,High School,Science,
3I108X0810,IB Sports Exercise & Hlth Science HL I,High School,Science,
3I108X0820,IB Sports Exercise & Hlth Science HL II,High School,Science,
3U005X0002,PHYS1102 Introductory Physics II,High School,Science,
3U005X0011,PHYS1101 Introductory Physics I,High School,Science,
3U005X001B,BINF1101 Intro to Bioinformat & Genomics,High School,Science,
3U005X002M,METR1102 Introduction to Meteorology,High School,Science,
3U005X0059,BIOL2259 Fundamentals of Microbiology,High School,Science,
3U005X0073,BIOL2273 Human Anatomy & Physiology I,High School,Science,
3U005X0074,BIOL2274 Human Anatomy and Physiology II,High School,Science,
3U005X0101,PHYS2101 Phys for Sci and Eng I,High School,Science,
3U005X0102,PHYS2102 Physics for Sci & Eng II,High School,Science,
3U005X0105,GEOG1105 The Location of Human Activity,High School,Science,
3U005X0110,BIOL1110 Principles of Biology I,High School,Science,
3U005X0111,ESCI1101 Earth Sciences-Geography,High School,Science,
3U005X0115,BIOL1115 Principles of Biology II,High School,Science,
3U005X0120,BIOL2120 General Biology I,High School,Science,
3U005X012P,PHYS1202 Intro to Physics in Medicine,High School,Science,
3U005X0130,PHYS1130 Introduction to Astronomy,High School,Science,
3U005X0131,CHEM2131 Organic Chemistry I,High School,Science,
3U005X0132,CHEM2132 Organic Chemistry II,High School,Science,
3U005X0200,CHEM1200 Fundamentals of Chemistry,High School,Science,
3U005X0201,GEOL1200 Physical Geology,High School,Science,
3U005X0211,ENGR1201 Intro to Eng. Practices & Prin.,High School,Science,
3U005X0213,ITSC 1213 - Intro to Computer Sci II,High School,Science,
3U005X021B,BIOL2130 General Biology II,High School,Science,
3U005X021C,BINF2111 Intro to Bioinfo Computing,High School,Science,
3U005X0251,CHEM1251 General Chemistry I,High School,Science,
3U005X0252,CHEM1252 General Chemistry II,High School,Science,
3U005X032L,CHEM2132L Organic Chemistry II Lab,High School,Science,
3U005X059L,BIOL2259L Fundamentals of Microbio Lab,High School,Science,
3U005X074L,BIOL2274L Human Anat & Physiology II Lab,High School,Science,
3U005X0CTS,CHEM1111 Chemistry in Today’s Society,High School,Science,
3U007X0111,BIOL3111 Cell Biology,High School,Science,
3U007X0166,BIOL3166 Genetics,High School,Science,
3U007X0310,PHYS3101 Topics & Methods of Gen Physics,High School,Science,
3U007X0311,CHEM3111 Quantitative Analysis,High School,Science,
3U007X0314,PHYS3141 Introduction to Modern Physics,High School,Science,
3V008X0800,CIE Biology AS,High School,Science,
3V018X0800,CIE Biology A,High School,Science,
3V028X0800,CIE Chemistry AS,High School,Science,
3V038X0800,CIE Chemistry A,High School,Science,
3V048X0800,CIE Environmental Mgmt AS,High School,Science,
3V058X0800,CIE Physics AS,High School,Science,
3V068X0800,CIE Physics A,High School,Science,
40002Z0800,Social Studies Kindergarten,Elementary School,Soc Stud,590283
40002Z080C,Social Studies Kindergarten (Chinese),Elementary School,Soc Stud,590283
40002Z080F,Social Studies Kindergarten (French),Elementary School,Soc Stud,590283
40002Z080G,Social Studies Kindergarten (German),Elementary School,Soc Stud,590283
40002Z080J,Social Studies Kindergarten (Japanese),Elementary School,Soc Stud,590283
40002Z080S,Social Studies Kindergarten (Spanish),Elementary School,Soc Stud,590283
40002Z0900,Social Studies Kindergarten,Elementary School,Soc Stud,590283
40002Z090S,Social Studies Kindergarten (Spanish),Elementary School,Soc Stud,590283
4000AZ0800,Social Studies Kindergarten,Elementary School,Soc Stud,590283
4000AZ0900,Social Studies Kindergarten,Elementary School,Soc Stud,590283
40012Y0880,Social Studies 6th SI,Middle School,Soc Stud,
40012Y0881,Social Studies 7th SI,Middle School,Soc Stud,
40012Y0882,Social Studies 8th SI,Middle School,Soc Stud,
40012Y0980,Social Studies 6th SI,Middle School,Soc Stud,
40012Y0981,Social Studies 7th SI,Middle School,Soc Stud,
40012Y0982,Social Studies 8th SI,Middle School,Soc Stud,
40012Z0800,Social Studies Grade 1,Elementary School,Soc Stud,590282
40012Z080C,Social Studies Grade 1 (Chinese),Elementary School,Soc Stud,590282
40012Z080F,Social Studies Grade 1 (French),Elementary School,Soc Stud,590282
40012Z080G,Social Studies Grade 1 (German),Elementary School,Soc Stud,590282
40012Z080J,Social Studies Grade 1 (Japanese),Elementary School,Soc Stud,590282
40012Z080S,Social Studies Grade 1 (Spanish),Elementary School,Soc Stud,590282
40012Z0900,Social Studies Grade 1,Elementary School,Soc Stud,590282
40012Z090S,Social Studies Grade 1 (Spanish),Elementary School,Soc Stud,590282
4001AZ0800,Social Studies Grade 1,Elementary School,Soc Stud,590282
4001AZ0900,Social Studies Grade 1,Elementary School,Soc Stud,590282
40022Z0800,Social Studies Grade 2,Elementary School,Soc Stud,590281
40022Z080C,Social Studies Grade 2 (Chinese),Elementary School,Soc Stud,590281
40022Z080F,Social Studies Grade 2 (French),Elementary School,Soc Stud,590281
40022Z080G,Social Studies Grade 2 (German),Elementary School,Soc Stud,590281
40022Z080J,Social Studies Grade 2 (Japanese),Elementary School,Soc Stud,590281
40022Z080S,Social Studies Grade 2 (Spanish),Elementary School,Soc Stud,590281
40022Z0900,Social Studies Grade 2,Elementary School,Soc Stud,590281
40022Z090S,Social Studies Grade 2 (Spanish),Elementary School,Soc Stud,590281
4002AZ0800,Social Studies Grade 2,Elementary School,Soc Stud,590281
4002AZ0900,Social Studies Grade 2,Elementary School,Soc Stud,590281
40032Z0800,Social Studies Grade 3,Elementary School,Soc Stud,590280
40032Z080C,Social Studies Grade 3 (Chinese),Elementary School,Soc Stud,590280
40032Z080F,Social Studies Grade 3 (French),Elementary School,Soc Stud,590280
40032Z080G,Social Studies Grade 3 (German),Elementary School,Soc Stud,590280
40032Z080J,Social Studies Grade 3 (Japanese),Elementary School,Soc Stud,590280
40032Z080S,Social Studies Grade 3 (Spanish),Elementary School,Soc Stud,590280
40032Z0900,Social Studies Grade 3,Elementary School,Soc Stud,590280
40032Z090S,Social Studies Grade 3 (Spanish),Elementary School,Soc Stud,590280
4003AZ0800,Social Studies Grade 3,Elementary School,Soc Stud,590280
4003AZ0900,Social Studies Grade 3,Elementary School,Soc Stud,590280
40042Z0800,Social Studies Grade 4,Elementary School,Soc Stud,590279
40042Z080C,Social Studies Grade 4 (Chinese),Elementary School,Soc Stud,590279
40042Z080F,Social Studies Grade 4 (French),Elementary School,Soc Stud,590279
40042Z080G,Social Studies Grade 4 (German),Elementary School,Soc Stud,590279
40042Z080J,Social Studies Grade 4 (Japanese),Elementary School,Soc Stud,590279
40042Z080S,Social Studies Grade 4 (Spanish),Elementary School,Soc Stud,590279
40042Z0900,Social Studies Grade 4,Elementary School,Soc Stud,590279
40042Z090S,Social Studies Grade 4 (Spanish),Elementary School,Soc Stud,590279
4004AZ0800,Social Studies Grade 4,Elementary School,Soc Stud,590279
4004AZ0900,Social Studies Grade 4,Elementary School,Soc Stud,590279
40052Z0800,Social Studies Grade 5,Elementary School,Soc Stud,590278
40052Z080C,Social Studies Grade 5 (Chinese),Elementary School,Soc Stud,590278
40052Z080F,Social Studies Grade 5 (French),Elementary School,Soc Stud,590278
40052Z080G,Social Studies Grade 5 (German),Elementary School,Soc Stud,590278
40052Z080J,Social Studies Grade 5 (Japanese),Elementary School,Soc Stud,590278
40052Z080S,Social Studies Grade 5 (Spanish),Elementary School,Soc Stud,590278
40052Z0900,Social Studies Grade 5,Elementary School,Soc Stud,590278
40052Z090S,Social Studies Grade 5 (Spanish),Elementary School,Soc Stud,590278
4005AZ0800,Social Studies Grade 5,Elementary School,Soc Stud,590278
4005AZ0900,Social Studies Grade 5,Elementary School,Soc Stud,590278
40062Y0000,Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0006,Horizons Seminar for Social Studies 6th,Middle School,Soc Stud,590314
40062Y0040,IB MYP Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0800,Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0806,Horizons Seminar for Social Studies 6th,Middle School,Soc Stud,590314
40062Y080S,Social Studies Grade 6 (Spanish),Middle School,Soc Stud,590314
40062Y0840,IB MYP Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0841,IB MYP Honors Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0870,Social Studies Grade 6 SI,Middle School,Soc Stud,
40062Y0900,Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0906,Horizons Seminar for Social Studies 6th,Middle School,Soc Stud,590314
40062Y0940,IB MYP Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0941,IB MYP Honors Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0950,Honors Social Studies Grade 6,Middle School,Soc Stud,590314
40062Y0970,Social Studies Grade 6 SI,Middle School,Soc Stud,590314
4006AY0000,Social Studies Grade 6,Middle School,Soc Stud,590314
4006AY0800,Social Studies Grade 6,Middle School,Soc Stud,590314
4006AY0900,Social Studies Grade 6,Middle School,Soc Stud,590314
40072Y0000,Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0006,Horizons Seminar for Social Studies 7th,Middle School,Soc Stud,590331
40072Y0040,IB MYP Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0800,Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0806,Horizons Seminar for Social Studies 7th,Middle School,Soc Stud,590331
40072Y080S,Social Studies Grade 7 (Spanish),Middle School,Soc Stud,590331
40072Y0840,IB MYP Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0841,IB MYP Honors Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0850,Honors Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0870,Social Studies Grade 7 SI,Middle School,Soc Stud,
40072Y0900,Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0906,Horizons Seminar for Social Studies 7th,Middle School,Soc Stud,590331
40072Y0940,IB MYP Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0941,IB MYP Honors Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0950,Honors Social Studies Grade 7,Middle School,Soc Stud,590331
40072Y0970,Social Studies Grade 7 SI,Middle School,Soc Stud,590331
4007AY0000,Social Studies Grade 7,Middle School,Soc Stud,590331
4007AY0800,Social Studies Grade 7,Middle School,Soc Stud,590331
4007AY0900,Social Studies Grade 7,Middle School,Soc Stud,590331
40082Y0000,Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0006,Horizons Seminar for Social Studies 8th,Middle School,Soc Stud,590333
40082Y0040,IB MYP Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0409,IB Fiction & Non-Fiction in Soc Studies,Middle School,Soc Stud,
40082Y0800,Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0806,Horizons Seminar for Social Studies 8th,Middle School,Soc Stud,590333
40082Y0809,IB Fiction & Non-Fiction in Soc Studies,Middle School,Soc Stud,
40082Y080S,Social Studies Grade 8 (Spanish),Middle School,Soc Stud,590333
40082Y0840,IB MYP Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0841,IB MYP Honors Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0850,Honors Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0870,Social Studies Grade 8 SI,Middle School,Soc Stud,
40082Y0900,Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0906,Horizons Seminar for Social Studies 8th,Middle School,Soc Stud,590333
40082Y0940,IB MYP Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0941,IB MYP Honors Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0950,Honors Social Studies Grade 8,Middle School,Soc Stud,590333
40082Y0970,Social Studies Grade 8 SI,Middle School,Soc Stud,590333
4008AY0000,Social Studies Grade 8,Middle School,Soc Stud,590333
4008AY0800,Social Studies Grade 8,Middle School,Soc Stud,590333
4008AY0900,Social Studies Grade 8,Middle School,Soc Stud,590333
42092X0001,"Amer His: Found Prin, Civics & Econ",High School,Soc Stud,
42092X0003,"Amer His: Founding Prin, Civ & Ec SI",High School,Soc Stud,
42092X001V,"Amer His: Founding Prin, Civ & Ec VPS",High School,Soc Stud,
42092X0031,"Amer His: Founding Prin, Civ & Ec Asia S",High School,Soc Stud,
42092X01XR,"XR Amer History: Founding Prin, Civ Ec",High School,Soc Stud,
42092X0801,"Amer His: Found Prin, Civics & Econ",High School,Soc Stud,
42092X0803,"Amer His: Founding Prin, Civ & Ec SI",High School,Soc Stud,
42092X080V,Amer His: Found Prin Civics and Econ VPS,High School,Soc Stud,
42092X0831,"Amer His: Founding Prin, Civ & Ec Asia S",High School,Soc Stud,
42092X0XRY,"XR Amer His: Found Prin, Civics & Econ",,,
42095X0001,"Honors Amer His: Found Prin, Civics & Ec",High School,Soc Stud,
42095X0002,"IB MYP Amer His: Found Prin, Civ & Ec",High School,Soc Stud,
42095X001V,"Hns Amer His: Found Prin, Civ & Ec VPS",High School,Soc Stud,
42095X0031,"Honors Amer His:Found Pri, C & E Asia S",High School,Soc Stud,
42095X0801,"Honors Amer His: Found Prin, Civics & Ec",High School,Soc Stud,
42095X0802,"IB MYP Amer His: Found Prin, Civics & Ec",High School,Soc Stud,
42095X081V,"Hns Amer His: Found Prin, Civ & Econ VPS",High School,Soc Stud,
42095X0831,"Honors Amer His:Found Pri, C & E Asia S",High School,Soc Stud,
43032X0000,World History,High School,Soc Stud,590335
43032X000V,World History VPS,High School,Soc Stud,
43032X0030,World History Asia Society,High School,Soc Stud,
43032X0070,World History SI,High School,Soc Stud,590335
43032X00XR,XR World History,High School,Soc Stud,590335
43032X0800,World History,High School,Soc Stud,590335
43032X080V,World History VPS,High School,Soc Stud,
43032X0830,World History Asia Society,High School,Soc Stud,
43032X0870,World History SI,High School,Soc Stud,590335
43032X0XRY,XR World History,,,
43032Y0000,World History (HS Cred),Middle School,Soc Stud,
43032Y0800,World History (HS Cred),,Soc Stud,
43032Y0900,World History (HS Cred),,Soc Stud,
43032Y0901,Honors World History (HS Cred),Middle School,Soc Stud,590335
43035X0000,Honors World History,High School,Soc Stud,590335
43035X000V,Honors World History VPS,High School,Soc Stud,
43035X0030,Honors World History Asia Society,High School,Soc Stud,
43035X0040,IB MYP World History,High School,Soc Stud,590335
43035X0800,Honors World History,High School,Soc Stud,590335
43035X080V,World History Honors VPS,High School,Soc Stud,
43035X0830,Honors World History Asia Society,High School,Soc Stud,
43035X0840,IB MYP World History,High School,Soc Stud,590335
43042X0000,American History I,High School,Soc Stud,
43042X000V,American History I VPS,High School,Soc Stud,
43042X0030,American History I Asia Society,High School,Soc Stud,
43042X0070,American History I SI,High School,Soc Stud,
43042X00XR,XR American History I,High School,Soc Stud,
43042X0800,American History I,High School,Soc Stud,
43042X080V,American History I VPS,High School,Soc Stud,
43042X0830,American History I Asia Society,High School,Soc Stud,
43042X0870,American History I SI,High School,Soc Stud,
43042X0XRY,XR American History I,,,
43045X0000,Honors American History I,High School,Soc Stud,
43045X000V,Honors American History I VPS,High School,Soc Stud,
43045X0030,Honors American History I Asia Society,High School,Soc Stud,
43045X0800,Honors American History I,High School,Soc Stud,
43045X080V,Honors American History I VPS,High School,Soc Stud,
43045X0830,Honors American History I Asia Society,High School,Soc Stud,
43052X0000,American History II,High School,Soc Stud,
43052X000V,American History II VPS,High School,Soc Stud,
43052X0030,American History II Asia Society,High School,Soc Stud,
43052X0070,American History II SI,High School,Soc Stud,
43052X00XR,XR American History II,High School,Soc Stud,
43052X0800,American History II,High School,Soc Stud,
43052X080V,American History II VPS,High School,Soc Stud,
43052X0830,American History II Asia Society,High School,Soc Stud,
43052X0870,American History II SI,High School,Soc Stud,
43052X0XRY,XR American History II,,,
43055X0000,Honors American History II,High School,Soc Stud,
43055X000V,Honors American History II VPS,High School,Soc Stud,
43055X0030,Honors American History II Asia Society,High School,Soc Stud,
43055X0800,Honors American History II,High School,Soc Stud,
43055X080V,Honors American History II VPS,High School,Soc Stud,
43055X0830,Honors American History II Asia Society,High School,Soc Stud,
43062X0000,The Cold War,High School,Soc Stud,
43062X0800,The Cold War,High School,Soc Stud,
43082X0000,"20th Cent Civ Liberties,Civ Rights",High School,Soc Stud,
43082X0800,"20th Cent Civ Liberties,Civ Rights",High School,Soc Stud,
43092X0000,Turning Point in American History,High School,Soc Stud,
43092X0800,Turning Point in American History,High School,Soc Stud,
43112X0000,American History,High School,Soc Stud,590336
43112X000V,American History VPS,High School,Soc Stud,
43112X0070,American History SI,High School,Soc Stud,590336
43112X0800,American History,High School,Soc Stud,590336
43112X080V,American History VPS,High School,Soc Stud,
43112X0870,American History SI,High School,Soc Stud,590336
43112X0XRY,XR American History,,,
43115X0000,American History Honors,High School,Soc Stud,590336
43115X000V,American History Honors VPS,High School,Soc Stud,
43115X0800,American History Honors,High School,Soc Stud,590336
43115X080V,American History Honors VPS,High School,Soc Stud,
43182X0000,Found Prin USA&NC: Civic Literacy,High School,Soc Stud,590337
43182X0002,IB MYP Amer His: Civic Literacy,High School,Soc Stud,590337
43182X000V,Found Prin USA&NC: Civic Literacy VPS,High School,Soc Stud,
43182X0070,Found Prin USA&NC: Civic Literacy SI,,,
43182X00XR,XR Found Prin USA&NC: Civic Literacy,High School,Soc Stud,590337
43182X0800,Found Prin USA&NC: Civic Literacy,High School,Soc Stud,590337
43182X0802,IB MYP Amer His: Civic Literacy,High School,Soc Stud,590337
43182X080V,Found Prin USA&NC: Civic Literacy VPS,High School,Soc Stud,
43182X0XRY,XR Found Prin USA&NC: Civic Literacy,,,
43185X0000,Found Prin USA&NC: Civic Literacy Honors,High School,Soc Stud,590337
43185X0002,IB MYP Amer His: Civic Literacy Honors,High School,Soc Stud,590337
43185X000V,Found Prin USA&NC: Civic Lit Honors VPS,High School,Soc Stud,
43185X0800,Found Prin USA&NC: Civic Literacy Honors,High School,Soc Stud,590337
43185X0802,IB MYP Amer His: Civic Literacy Honors,High School,Soc Stud,590337
43185X080V,Found Prin USA&NC: Civic Lit Honors VPS,High School,Soc Stud,
43192X0000,Economics and Personal Finance,High School,Soc Stud,590486
43192X000V,Economics and Personal Finance VPS,High School,Soc Stud,
43192X000Y,Economics and Personal Finance,,,
43192X0040,IB MYP Econ & Personal Finance Standard,High School,Soc Stud,590486
43192X0070,Economics and Personal Finance SI,,,
43192X0800,Economics and Personal Finance,High School,Soc Stud,590486
43192X080V,Economics and Personal Finance VPS,High School,Soc Stud,
43192X0840,IB MYP Econ & Personal Finance Standard,High School,Soc Stud,590486
43192X0XRY,XR Economics and Personal Finance,,,
43195X0000,Economics and Personal Finance Honors,High School,Soc Stud,590486
43195X000V,Economics Personal Finance Honors VPS,High School,Soc Stud,
43195X0040,IB MYP Economics and Personal Finance,High School,Soc Stud,590486
43195X0800,Economics and Personal Finance Honors,High School,Soc Stud,590486
43195X0840,IB MYP Economics and Personal Finance,High School,Soc Stud,590486
44002X0000,Sociology,High School,Soc Stud,590345
44002X000Y,Sociology,,,
44002X00XR,XR Sociology,High School,Soc Stud,590345
44002X0800,Sociology,High School,Soc Stud,590345
44005X0000,Sociology Honors,High School,Soc Stud,590345
44032X0000,Psychology,High School,Soc Stud,590353
44032X000V,Psychology VPS,High School,Soc Stud,
44032X00XR,XR Psychology,High School,Soc Stud,590353
44032X0800,Psychology,High School,Soc Stud,590353
44032X080V,Psychology VPS,High School,Soc Stud,
44035X0000,Honors Psychology,High School,Soc Stud,590353
44035X000V,Honors Psychology VPS,High School,Soc Stud,
44035X0800,Honors Psychology,High School,Soc Stud,590353
44035X080V,Honors Psychology VPS,High School,Soc Stud,
45052X0000,21st Century Global Geography,High School,Soc Stud,
45052X0800,21st Century Global Geography,High School,Soc Stud,
46012X0000,African American Studies,High School,Soc Stud,590338
46012X000V,African American Studies VPS,High School,Soc Stud,
46012X00XR,XR African American Studies,High School,Soc Stud,590338
46012X0800,African American Studies,High School,Soc Stud,590338
46012X080V,African American Studies VPS,High School,Soc Stud,
46015X0000,Honors African American Studies,High School,Soc Stud,590338
46015X000V,African American Studies Honors VPS,High School,Soc Stud,
46015X0010,African American Studies Honors NCSSM,High School,Soc Stud,
46015X0800,Honors African American Studies,High School,Soc Stud,590338
46015X080V,African American Studies Honors VPS,High School,Soc Stud,
46032X0000,Latin American Studies,High School,Soc Stud,590339
46032X000P,Latin American Studies,High School,Soc Stud,590339
46032X000S,Latin American Studies (Spanish),High School,Soc Stud,590339
46032X0800,Latin American Studies,High School,Soc Stud,590339
46032X080S,Latin American Studies (Spanish),High School,Soc Stud,590339
46035X0000,Honors Latin American Studies,High School,Soc Stud,590339
46035X000S,Honors Latin American Studies (Spanish),High School,Soc Stud,590339
46035X0800,Honors Latin American Studies,High School,Soc Stud,590339
46035X080S,Honors Latin American Studies (Spanish),High School,Soc Stud,590339
46062X0000,World Humanities,High School,Soc Stud,
46062X0800,World Humanities,High School,Soc Stud,
46072X0000,American Humanities,High School,Soc Stud,
46072X0800,American Humanities,High School,Soc Stud,
48002X0001,Perspectives on Leadership,High School,Soc Stud,
48002X0002,Dimensions of Leadership,High School,Soc Stud,
48002X0003,Leadership of the 21st Century,High School,Soc Stud,
48002X0004,Leadership Development,High School,Soc Stud,
48002X0006,Global Leadership Seminar I,High School,Soc Stud,
48002X0007,Global Leadership Seminar II,High School,Soc Stud,
48002X0008,Global Leadership Seminar III,High School,Soc Stud,
48002X0009,Global Leadership Seminar IV,High School,Soc Stud,
48002X000E,Human Geography,High School,Soc Stud,
48002X000V,Medieval Studies VPS,High School,Soc Stud,
48002X0010,Middle East History,High School,Soc Stud,
48002X0011,Bible History,High School,Soc Stud,
48002X0030,Freshman Seminar Asia Society,High School,Soc Stud,
48002X00CV,Soc Prob2 Crisis Conflict Challenges VPS,High School,Soc Stud,
48002X00GV,Human Geography: Our Global Identity VPS,High School,Soc Stud,
48002X00HV,History of the Holocaust VPS,High School,Soc Stud,
48002X00PV,Social Problems 1: A World in Crisis VPS,High School,Soc Stud,
48002X00SV,Social Problems VPS,High School,Soc Stud,
48002X0801,Perspectives on Leadership,High School,Soc Stud,
48002X0802,Dimensions of Leadership,High School,Soc Stud,
48002X0803,Leadership of the 21st Century,High School,Soc Stud,
48002X0804,Leadership Development,High School,Soc Stud,
48002X0806,Global Leadership Seminar I,High School,Soc Stud,
48002X0807,Global Leadership Seminar II,High School,Soc Stud,
48002X0808,Global Leadership Seminar III,High School,Soc Stud,
48002X0809,Global Leadership Seminar IV,High School,Soc Stud,
48002X080E,Human Geography,High School,Soc Stud,
48002X0810,Middle East History,High School,Soc Stud,
48002X0830,Freshman Seminar Asia Society,High School,Soc Stud,
48002X0HGV,Human Geography - Global Identity VPS,High School,Soc Stud,
48002X0P2V,Soc Prob 2 Crisis Conflict Challenge VPS,High School,Soc Stud,
48005X0010,Honors Middle East History,High School,Soc Stud,
48005X0021,Honors Genocide and Human Nature,High School,Soc Stud,
48005X0030,Honors Sophomore Seminar Asia Society,High School,Soc Stud,
48005X0031,Honors Junior Seminar Asia Society,High School,Soc Stud,
48005X0032,Honors Senior Seminar Asia Society,High School,Soc Stud,
48005X0033,Honors DREAM Leaders,High School,Soc Stud,
48005X0040,Honors Big History Project,High School,Soc Stud,
48005X00AA,AP Pilot African American Studies,,,
48005X0354,Hns 21st Century Media Studies NCSSM,High School,Soc Stud,
48005X0358,Honors Race Leadership & Ethics NCSSM,High School,Soc Stud,
48005X0820,Global Perspectives IGCSE,High School,Soc Stud,
48005X0821,Honors Genocide and Human Nature,High School,Soc Stud,
48005X0830,Honors Sophomore Seminar Asia Society,High School,Soc Stud,
48005X0831,Honors Junior Seminar Asia Society,High School,Soc Stud,
48005X0832,Honors Senior Seminar Asia Society,High School,Soc Stud,
48005X0833,Honors DREAM Leaders,High School,Soc Stud,
48005X0840,Honors Big History Project,High School,Soc Stud,
48005X08AA,AP Pilot African American Studies,,,
